2012, Swimming, Netherlands, gold, 1
2008, Modern Pentathlon, East Germany, gold, 1
2012, Rowing, Denemark, gold, 6
2004, Gymnastics, Austria, bronze, 2
2004, Cycling, Denemark, silver, 3
2008, Modern Pentathlon, Finland, gold, 0
2008, Gymnastics, Finland, gold, 0
2008, Tennis, South Korea, bronze, 0
2012, Gymnastics, Cuba, bronze, 3
2004, Athletics, Russia, bronze, 4
2012, Swimming, Belgium, gold, 0
2016, Football / Soccer, Soviet Union, gold, 2
2004, Tennis, Great Britain, silver, 0
2004, Cycling, Romania, bronze, 4
2016, Football / Soccer, Denemark, silver, 5
2016, Cycling, Canada, gold, 6
2016, Cycling, Denemark, bronze, 6
2012, Swimming, Canada, gold, 5
2016, Cycling, Australia, bronze, 1
2012, Gymnastics, Austria, silver, 6
2004, Gymnastics, Netherlands, silver, 5
2008, Rowing, Italy, silver, 0
2012, Athletics, United States, bronze, 2
2012, Athletics, Belgium, bronze, 0
2012, Swimming, Commonwealth of Independent States, silver, 4
2008, Football / Soccer, Cuba, bronze, 2
2004, Rowing, Czechoslovakia, gold, 1
2008, Swimming, United States, gold, 6
2008, Modern Pentathlon, Poland, silver, 2
2012, Tennis, Romania, silver, 4
2012, Rowing, Romania, silver, 3
2008, Rowing, Netherlands, silver, 4
2004, Modern Pentathlon, Soviet Union, silver, 0
2016, Gymnastics, Italy, silver, 6
2012, Rowing, Austria, silver, 2
2016, Tennis, Denemark, silver, 3
2016, Volleyball, Russia, gold, 4
2008, Volleyball, Australia, gold, 0
2008, Athletics, Commonwealth of Independent States, silver, 3
2004, Gymnastics, Hungary, gold, 4
2012, Rowing, Norway, gold, 1
2008, Swimming, Bulgaria, silver, 1
2016, Rowing, Canada, gold, 2
2012, Cycling, Switzerland, silver, 4
2008, Football / Soccer, Sweden, bronze, 2
2016, Synchronized Swimming, Italy, bronze, 4
2004, Volleyball, Turkey, silver, 4
2016, Volleyball, Sweden, silver, 1
2016, Volleyball, Canada, gold, 6
2004, Gymnastics, China, gold, 0
2008, Rowing, Canada, silver, 3
2012, Swimming, Poland, gold, 3
2008, Football / Soccer, United States, bronze, 5
2016, Gymnastics, Hungary, gold, 2
2008, Football / Soccer, West Germany, bronze, 4
8, Football / Soccer, Switzerland, silver, 0
2008, Football / Soccer, East Germany, gold, 0
2012, Cycling, Hungary, gold, 3
2012, Volleyball, Netherlands, silver, 2
2004, Modern Pentathlon, Bulgaria, bronze, 6
2008, Modern Pentathlon, Russia, gold, 1
2016, Modern Pentathlon, Sweden, gold, 3
2004, Volleyball, France, gold, 0
2016, Modern Pentathlon, Canada, bronze, 4
2004, Modern Pentathlon, Japan, silver, 5
2012, Football / Soccer, South Korea, bronze, 2
2004, Synchronized Swimming, Canada, gold, 6
2004, Athletics, Germany, gold, 3
2012, Synchronized Swimming, Norway, gold, 3
2008, Cycling, Australia, bronze, 6
2008, Tennis, France, gold, 3
2012, Tennis, Denemark, bronze, 1
2004, Cycling, Italy, silver, 4
2004, Rowing, Soviet Union, bronze, 5
2004, Swimming, Canada, silver, 0
2012, Athletics, Cuba, silver, 4
2012, Athletics, Canada, silver, 3
2008, Football / Soccer, Soviet Union, bronze, 0
2004, Modern Pentathlon, Japan, bronze, 6
2016, Modern Pentathlon, Russia, gold, 2
2016, Football / Soccer, Denemark, gold, 1
2004, Volleyball, Australia, silver, 1
2012, Rowing, Poland, silver, 5
2012, Rowing, Russia, bronze, 3
2008, Cycling, South Korea, bronze, 0
2016, Cycling, South Korea, bronze, 4
2004, Rowing, Denemark, gold, 6
2004, Athletics, Norway, bronze, 3
2008, Volleyball, Norway, silver, 4
2004, Rowing, United States, bronze, 3
2004, Rowing, Australia, gold, 1
2008, Gymnastics, Cuba, silver, 2
2012, Swimming, Czechoslovakia, gold, 0
2004, Modern Pentathlon, Bulgaria, silver, 5
2012, Cycling, Cuba, gold, 5
2004, Gymnastics, West Germany, silver, 1
2008, Synchronized Swimming, Denemark, silver, 4
2004, Rowing, France, silver, 0
2016, Volleyball, Bulgaria, bronze, 2
2016, Football / Soccer, Norway, gold, 4
2012, Swimming, Denemark, gold, 4
2004, Athletics, Italy, bronze, 6
2008, Volleyball, Bulgaria, gold, 4
2008, Volleyball, Commonwealth of Independent States, silver, 0
2004, Football / Soccer, France, gold, 5
2016, Modern Pentathlon, Turkey, bronze, 3
2008, Tennis, West Germany, bronze, 1
2012, Swimming, Austria, bronze, 3
2008, Volleyball, Soviet Union, bronze, 4
2004, Football / Soccer, Czechoslovakia, bronze, 3
2016, Volleyball, Commonwealth of Independent States, bronze, 0
8, Gymnastics, East Germany, bronze, 5
2012, Swimming, East Germany, gold, 6
2016, Swimming, Japan, bronze, 5
2008, Athletics, Italy, b, 5
2004, Swimming, Netherlands, bronze, 5
2012, Athletics, Switzerland, silver, 3
2008, Volleyball, Cuba, gold, 5
2008, Tennis, Poland, bronze, 4
2008, Modern Pentathlon, Hungary, silver, 2
2008, Athletics, West Germany, silver, 3
2004, Gymnastics, Poland, gold, 4
2008, Gymnastics, West Germany, silver, 2
2016, Synchronized Swimming, Netherlands, silver, 2
2016, Modern Pentathlon, Romania, bronze, 1
2012, Tennis, Sweden, silver, 6
2016, Gymnastics, Australia, bronze, 1
2012, Rowing, China, silver, 1
2016, Football / Soccer, Australia, gold, 3
2012, Modern Pentathlon, Japan, gold, 0
2004, Cycling, Canada, gold, 1
2008, Synchronized Swimming, Germany, bronze, 1
2008, Modern Pentathlon, East Germany, silver, 0
2012, Modern Pentathlon, South Korea, gold, 3
2008, Tennis, Denemark, gold, 6
2012, Football / Soccer, Norway, bronze, 3
2016, Gymnastics, Russia, bronze, 0
2016, Volleyball, East Germany, bronze, 5
2008, Gymnastics, Russia, silver, 1
2016, Synchronized Swimming, Czechoslovakia, gold, 4
2016, Football / Soccer, Australia, bronze, 0
2012, Cycling, Czechoslovakia, bronze, 5
2016, Athletics, Czechoslovakia, gold, 5
2004, Athletics, Turkey, silver, 0
2008, Gymnastics, Belgium, gold, 1
2012, Cycling, Belgium, gold, 5
2016, Modern Pentathlon, Soviet Union, silver, 3
2008, Swimming, Romania, silver, 4
2008, Synchronized Swimming, Cuba, silver, 3
2016, Volleyball, Germany, bronze, 4
2016, Rowing, South Korea, bronze, 6
2004, Volleyball, West Germany, silver, 2
2004, Modern Pentathlon, Norway, gold, 6
2008, Cycling, Norway, bronze, 6
2004, Football / Soccer, Sweden, silver, 4
8, Football / Soccer, Poland, g, 4
2016, Modern Pentathlon, Belgium, gold, 5
2008, Volleyball, Germany, gold, 4
2012, Cycling, West Germany, gold, 4
2008, Volleyball, China, gold, 1
2016, Gymnastics, Bulgaria, silver, 5
2004, Synchronized Swimming, Australia, b, 2
2008, Athletics, Soviet Union, bronze, 4
2012, Cycling, Turkey, silver, 3
2012, Swimming, Norway, bronze, 0
2012, Synchronized Swimming, Cuba, silver, 2
2016, Volleyball, Romania, bronze, 2
2016, Modern Pentathlon, Japan, bronze, 6
2008, Synchronized Swimming, Canada, silver, 0
2004, Volleyball, Bulgaria, gold, 0
2008, Athletics, Germany, silver, 4
2008, Football / Soccer, Finland, bronze, 4
2016, Tennis, Poland, bronze, 5
2004, Modern Pentathlon, South Korea, gold, 6
2016, Football / Soccer, France, silver, 4
2004, Tennis, France, gold, 2
2008, Football / Soccer, Austria, gold, 5
2008, Volleyball, Austria, bronze, 0
2016, Football / Soccer, West Germany, silver, 4
2008, Volleyball, Norway, bronze, 2
2016, Synchronized Swimming, West Germany, gold, 2
2016, Modern Pentathlon, Bulgaria, gold, 3
2012, Modern Pentathlon, Turkey, gold, 5
2008, Synchronized Swimming, Great Britain, bronze, 5
2012, Tennis, Turkey, bronze, 4
2012, Gymnastics, Cuba, silver, 6
2004, Modern Pentathlon, Sweden, gold, 2
2012, Swimming, West Germany, gold, 4
2016, Football / Soccer, United States, gold, 4
2004, Cycling, Switzerland, silver, 0
2012, Volleyball, United States, bronze, 2
2012, Football / Soccer, Switzerland, s, 6
2012, Volleyball, Japan, silver, 5
2012, Football / Soccer, West Germany, gold, 1
2016, Cycling, Bulgaria, gold, 0
2016, Athletics, West Germany, bronze, 3
2008, Tennis, Italy, silver, 4
2012, Modern Pentathlon, China, gold, 2
2004, Modern Pentathlon, Switzerland, gold, 1
2004, Athletics, France, gold, 2
2016, Synchronized Swimming, Soviet Union, gold, 0
2016, Rowing, France, gold, 4
2008, Rowing, West Germany, b, 6
2008, Football / Soccer, Romania, gold, 1
2008, Synchronized Swimming, South Korea, silver, 2
2012, Volleyball, Finland, silver, 6
2004, Volleyball, Germany, silver, 6
2004, Gymnastics, Hungary, silver, 3
2016, Swimming, France, silver, 0
2012, Athletics, Czechoslovakia, gold, 2
2004, Cycling, Germany, gold, 2
2012, Football / Soccer, Soviet Union, bronze, 4
8, Cycling, Cuba, gold, 0
2008, Modern Pentathlon, Finland, silver, 2
2004, Synchronized Swimming, Belgium, silver, 1
2016, Modern Pentathlon, West Germany, gold, 5
2004, Tennis, Canada, bronze, 3
2012, Football / Soccer, Japan, gold, 1
2004, Swimming, Italy, silver, 1
2016, Football / Soccer, Belgium, bronze, 1
2008, Football / Soccer, Belgium, bronze, 2
2016, Synchronized Swimming, Switzerland, bronze, 6
2016, Athletics, Belgium, gold, 1
2016, Swimming, Germany, gold, 3
2016, Cycling, Canada, silver, 0
2008, Rowing, Australia, bronze, 3
2008, Athletics, Australia, bronze, 1
2004, Tennis, South Korea, silver, 1
2004, Modern Pentathlon, Norway, bronze, 0
2004, Synchronized Swimming, Netherlands, bronze, 6
2004, Modern Pentathlon, Denemark, silver, 3
2004, Volleyball, Italy, bronze, 2
2008, Swimming, Soviet Union, silver, 0
2012, Cycling, France, silver, 3
2016, Football / Soccer, Cuba, silver, 6
2016, Rowing, Canada, silver, 2
2012, Football / Soccer, Great Britain, gold, 2
2008, Athletics, Switzerland, gold, 0
2008, Swimming, Cuba, gold, 1
2008, Cycling, Turkey, bronze, 1
2008, Gymnastics, Finland, silver, 4
2012, Rowing, United States, silver, 4
2004, Cycling, Great Britain, gold, 3
2012, Synchronized Swimming, Switzerland, bronze, 6
2012, Volleyball, Austria, silver, 4
2004, Athletics, United States, gold, 6
2016, Swimming, Australia, silver, 6
2016, Modern Pentathlon, Poland, silver, 3
2004, Synchronized Swimming, Canada, silver, 0
2012, Modern Pentathlon, Italy, gold, 0
2008, Rowing, Belgium, gold, 4
2004, Tennis, France, bronze, 2
2016, Synchronized Swimming, Hungary, silver, 5
2012, Gymnastics, Belgium, gold, 3
2008, Athletics, South Korea, gold, 4
2012, Synchronized Swimming, Bulgaria, bronze, 0
2016, Tennis, Poland, silver, 4
2016, Tennis, Belgium, bronze, 3
2016, Gymnastics, Bulgaria, bronze, 2
2016, Gymnastics, Commonwealth of Independent States, bronze, 2
2012, Football / Soccer, East Germany, gold, 5
2004, Tennis, Norway, silver, 0
2004, Cycling, Finland, bronze, 1
2004, Swimming, Sweden, gold, 1
2012, Athletics, Canada, gold, 1
2016, Cycling, Russia, silver, 6
2016, Football / Soccer, Czechoslovakia, silver, 0
2012, Volleyball, United States, silver, 3
2012, Cycling, Australia, silver, 5
2004, Football / Soccer, Japan, gold, 4
2008, Cycling, Switzerland, silver, 3
2012, Modern Pentathlon, Norway, silver, 6
2016, Volleyball, Romania, silver, 6
2016, Cycling, Great Britain, bronze, 2
2008, Football / Soccer, Finland, silver, 0
2016, Volleyball, Belgium, gold, 1
2004, Athletics, Netherlands, silver, 1
2004, Gymnastics, Norway, silver, 0
2008, Tennis, Australia, silver, 3
2016, Gymnastics, Germany, bronze, 3
2016, Gymnastics, Belgium, silver, 0
2008, Football / Soccer, Netherlands, bronze, 5
2012, Volleyball, Finland, gold, 1
2016, Rowing, Italy, silver, 2
2004, Swimming, Italy, gold, 0
2012, Modern Pentathlon, Norway, gold, 4
2008, Tennis, West Germany, gold, 4
2008, Swimming, Bulgaria, bronze, 6
2008, Cycling, France, bronze, 3
2016, Synchronized Swimming, Australia, g, 4
2016, Tennis, China, bronze, 5
2012, Synchronized Swimming, Netherlands, bronze, 3
2012, Volleyball, Canada, s, 3
2008, Gymnastics, Austria, gold, 6
2012, Cycling, Finland, gold, 6
2004, Volleyball, South Korea, silver, 5
2004, Athletics, Czechoslovakia, gold, 2
2012, Tennis, East Germany, gold, 1
2004, Tennis, Austria, silver, 0
2004, Gymnastics, Great Britain, gold, 2
2012, Rowing, Romania, bronze, 3
2004, Modern Pentathlon, Australia, silver, 1
2012, Volleyball, Cuba, silver, 2
2004, Gymnastics, China, silver, 3
2008, Swimming, West Germany, silver, 2
2016, Tennis, Japan, bronze, 2
2008, Swimming, Sweden, silver, 4
2008, Swimming, Italy, silver, 5
2004, Modern Pentathlon, Belgium, silver, 6
2016, Synchronized Swimming, Turkey, bronze, 3
8, Gymnastics, Canada, silver, 0
2012, Cycling, Denemark, silver, 3
2016, Gymnastics, Denemark, gold, 6
2016, Volleyball, Great Britain, bronze, 4
2004, Synchronized Swimming, Commonwealth of Independent States, bronze, 6
2008, Tennis, Switzerland, gold, 4
2012, Swimming, Russia, bronze, 6
2012, Volleyball, Japan, bronze, 3
2016, Synchronized Swimming, France, silver, 3
2008, Synchronized Swimming, Sweden, gold, 3
2004, Synchronized Swimming, Czechoslovakia, silver, 6
2004, Modern Pentathlon, Commonwealth of Independent States, silver, 3
2008, Volleyball, Italy, gold, 1
2012, Modern Pentathlon, United States, bronze, 4
2008, Synchronized Swimming, Italy, gold, 6
2016, Swimming, Commonwealth of Independent States, gold, 3
2016, Tennis, East Germany, bronze, 2
2008, Volleyball, Belgium, silver, 3
2008, Synchronized Swimming, Romania, bronze, 0
2012, Athletics, Russia, silver, 1
2004, Synchronized Swimming, Germany, gold, 0
2004, Gymnastics, Russia, silver, 1
2004, Modern Pentathlon, Hungary, gold, 3
2016, Rowing, Czechoslovakia, silver, 6
2004, Athletics, Canada, silver, 4
2012, Rowing, Belgium, gold, 1
2004, Synchronized Swimming, Great Britain, bronze, 4
2004, Modern Pentathlon, United States, gold, 4
2008, Tennis, Hungary, bronze, 4
2008, Modern Pentathlon, Hungary, bronze, 5
2012, Tennis, Czechoslovakia, bronze, 6
2012, Gymnastics, West Germany, gold, 1
2004, Synchronized Swimming, Russia, gold, 3
2012, Tennis, Poland, gold, 4
2016, Gymnastics, Poland, silver, 4
2012, Swimming, South Korea, silver, 6
2004, Swimming, Turkey, silver, 6
2016, Volleyball, Denemark, bronze, 2
2008, Swimming, Denemark, bronze, 0
2012, Athletics, Finland, bronze, 3
2004, Volleyball, Sweden, gold, 2
2008, Tennis, Cuba, gold, 6
2016, Modern Pentathlon, Denemark, gold, 1
2012, Football / Soccer, Finland, bronze, 1
2016, Tennis, Austria, gold, 4
2016, Cycling, Japan, bronze, 0
2008, Volleyball, Soviet Union, silver, 4
2012, Tennis, Turkey, silver, 3
2016, Rowing, Netherlands, bronze, 6
2012, Swimming, Finland, silver, 4
2008, Tennis, East Germany, gold, 3
2004, Cycling, Belgium, silver, 5
2016, Cycling, West Germany, gold, 4
2016, Athletics, Soviet Union, gold, 0
2004, Tennis, Great Britain, gold, 6
2016, Football / Soccer, Commonwealth of Independent States, silver, 1
2016, Tennis, Germany, bronze, 0
2008, Volleyball, Sweden, gold, 1
2008, Rowing, Turkey, silver, 2
2012, Athletics, Canada, bronze, 4
2008, Synchronized Swimming, Netherlands, bronze, 4
2004, Athletics, Japan, bronze, 3
2016, Cycling, Turkey, gold, 3
2012, Tennis, Netherlands, silver, 6
2012, Rowing, Czechoslovakia, silver, 6
2004, Athletics, Poland, silver, 3
2004, Rowing, China, gold, 6
2016, Volleyball, Poland, gold, 5
2012, Cycling, Great Britain, silver, 3
2008, Cycling, Finland, bronze, 5
2004, Modern Pentathlon, Australia, gold, 4
2004, Gymnastics, East Germany, gold, 5
2012, Athletics, Hungary, bronze, 6
2012, Synchronized Swimming, Denemark, gold, 0
2008, Gymnastics, Germany, bronze, 2
2012, Synchronized Swimming, Hungary, silver, 2
2004, Gymnastics, West Germany, bronze, 4
2016, Modern Pentathlon, Canada, gold, 4
2012, Modern Pentathlon, Bulgaria, bronze, 2
2016, Rowing, Japan, bronze, 2
2016, Gymnastics, China, silver, 1
2004, Volleyball, Cuba, bronze, 1
2004, Athletics, Commonwealth of Independent States, bronze, 0
2016, Athletics, Australia, gold, 6
2016, Football / Soccer, West Germany, bronze, 6
2016, Rowing, Great Britain, bronze, 3
2008, Athletics, Sweden, bronze, 0
2016, Cycling, France, bronze, 4
2008, Swimming, Austria, bronze, 1
2008, Gymnastics, West Germany, gold, 1
2004, Swimming, United States, gold, 0
2004, Tennis, Romania, silver, 1
2016, Swimming, Austria, bronze, 4
2008, Tennis, Austria, silver, 1
2012, Gymnastics, Denemark, silver, 4
2012, Volleyball, Denemark, gold, 3
2016, Gymnastics, Cuba, silver, 1
2008, Modern Pentathlon, Australia, silver, 5
2008, Gymnastics, South Korea, silver, 2
2008, Swimming, Norway, gold, 1
2016, Synchronized Swimming, Japan, bronze, 4
2012, Synchronized Swimming, United States, gold, 5
2016, Modern Pentathlon, Austria, bronze, 5
2004, Athletics, Poland, bronze, 5
2012, Volleyball, Czechoslovakia, bronze, 4
2016, Rowing, Turkey, silver, 6
2016, Rowing, Bulgaria, silver, 0
2004, Modern Pentathlon, Netherlands, gold, 2
2008, Football / Soccer, Sweden, gold, 5
2016, Swimming, Bulgaria, silver, 2
2016, Synchronized Swimming, Australia, bronze, 2
2008, Synchronized Swimming, China, gold, 6
2016, Swimming, East Germany, gold, 4
2008, Rowing, Norway, silver, 1
2012, Tennis, South Korea, silver, 6
8, Gymnastics, Cuba, gold, 1
2016, Gymnastics, Soviet Union, gold, 5
2016, Football / Soccer, France, bronze, 1
2016, Swimming, Austria, silver, 0
2008, Volleyball, Hungary, silver, 5
2016, Football / Soccer, Norway, silver, 3
2008, Rowing, Sweden, bronze, 1
2012, Rowing, Switzerland, silver, 0
2008, Gymnastics, Denemark, bronze, 5
2008, Athletics, Denemark, silver, 3
2016, Modern Pentathlon, France, silver, 2
2008, Athletics, Denemark, gold, 0
2016, Swimming, Turkey, silver, 3
2004, Tennis, Cuba, gold, 2
2008, Tennis, Commonwealth of Independent States, bronze, 5
16, Synchronized Swimming, France, gold, 4
2016, Athletics, Netherlands, s, 3
2004, Athletics, West Germany, gold, 3
2004, Synchronized Swimming, Belgium, bronze, 2
2004, Athletics, Soviet Union, gold, 2
2004, Football / Soccer, Hungary, bronze, 3
2004, Volleyball, West Germany, bronze, 2
2016, Cycling, Switzerland, bronze, 0
2012, Volleyball, Romania, gold, 4
2004, Volleyball, Hungary, gold, 2
2004, Rowing, Austria, gold, 6
2008, Modern Pentathlon, Commonwealth of Independent States, silver, 0
2012, Tennis, Canada, bronze, 5
2012, Gymnastics, Czechoslovakia, gold, 1
2004, Gymnastics, United States, bronze, 1
2012, Cycling, Austria, silver, 2
2016, Athletics, Commonwealth of Independent States, bronze, 5
2008, Football / Soccer, West Germany, gold, 4
2008, Cycling, Romania, gold, 1
2008, Cycling, Sweden, gold, 5
2008, Volleyball, Czechoslovakia, gold, 4
2008, Cycling, Hungary, silver, 0
2016, Volleyball, West Germany, bronze, 3
2008, Synchronized Swimming, Belgium, bronze, 5
2004, Gymnastics, Austria, gold, 5
2012, Tennis, Canada, gold, 5
2016, Modern Pentathlon, Finland, bronze, 0
2008, Cycling, Germany, gold, 0
2004, Cycling, Switzerland, bronze, 0
2012, Cycling, East Germany, bronze, 4
2008, Synchronized Swimming, Cuba, bronze, 5
2008, Rowing, Bulgaria, gold, 1
2012, Volleyball, East Germany, bronze, 3
2008, Tennis, Soviet Union, bronze, 0
2004, Rowing, Russia, gold, 5
2004, Cycling, Denemark, bronze, 0
2016, Athletics, Italy, gold, 5
2012, Synchronized Swimming, China, gold, 0
2012, Tennis, East Germany, silver, 2
2012, Football / Soccer, Canada, silver, 3
2012, Rowing, France, bronze, 4
2004, Tennis, Denemark, bronze, 2
2016, Swimming, Belgium, gold, 4
2012, Athletics, Soviet Union, gold, 6
2012, Synchronized Swimming, Poland, bronze, 4
2008, Volleyball, Cuba, bronze, 1
2012, Cycling, Australia, bronze, 0
2016, Rowing, Bulgaria, bronze, 2
2012, Synchronized Swimming, Russia, bronze, 3
2012, Synchronized Swimming, Canada, gold, 5
2004, Swimming, Austria, silver, 2
2016, Football / Soccer, Finland, silver, 5
2004, Rowing, West Germany, gold, 5
2004, Tennis, Bulgaria, silver, 3
2016, Modern Pentathlon, Norway, gold, 1
2016, Volleyball, Belgium, silver, 1
2004, Swimming, China, gold, 1
2004, Modern Pentathlon, Netherlands, bronze, 4
2004, Modern Pentathlon, United States, bronze, 5
2016, Rowing, South Korea, gold, 4
2012, Volleyball, Turkey, silver, 2
2008, Football / Soccer, Czechoslovakia, gold, 1
2008, Swimming, Bulgaria, gold, 0
2004, Tennis, United States, bronze, 5
4, Modern Pentathlon, South Korea, bronze, 5
2016, Football / Soccer, France, gold, 2
2012, Athletics, Australia, silver, 1
2012, Gymnastics, United States, silver, 2
2008, Synchronized Swimming, Turkey, gold, 5
2004, Volleyball, Norway, bronze, 6
2016, Rowing, Commonwealth of Independent States, bronze, 5
2008, Modern Pentathlon, Poland, bronze, 4
2008, Tennis, Belgium, gold, 6
2004, Gymnastics, Commonwealth of Independent States, gold, 2
2016, Volleyball, Netherlands, bronze, 4
2004, Tennis, Czechoslovakia, gold, 2
2016, Cycling, Germany, gold, 2
2012, Cycling, Canada, silver, 4
2008, Modern Pentathlon, Commonwealth of Independent States, bronze, 1
2016, Volleyball, Australia, bronze, 6
2008, Football / Soccer, Japan, gold, 1
2008, Rowing, France, gold, 1
2008, Athletics, Poland, gold, 1
2016, Tennis, Japan, silver, 4
2016, Swimming, Russia, silver, 4
2008, Synchronized Swimming, Canada, bronze, 1
2004, Athletics, East Germany, silver, 5
2004, Football / Soccer, East Germany, bronze, 2
2012, Football / Soccer, West Germany, bronze, 4
2012, Athletics, Russia, gold, 2
2008, Modern Pentathlon, Canada, bronze, 3
2012, Football / Soccer, Austria, gold, 4
2012, Athletics, East Germany, silver, 2
2008, Volleyball, Great Britain, bronze, 5
2004, Rowing, South Korea, silver, 6
2016, Rowing, West Germany, gold, 3
2016, Athletics, Sweden, gold, 4
2008, Rowing, United States, silver, 1
2008, Synchronized Swimming, Turkey, bronze, 6
2004, Synchronized Swimming, South Korea, silver, 4
2016, Tennis, Soviet Union, bronze, 3
2016, Gymnastics, Netherlands, silver, 2
2012, Volleyball, Turkey, gold, 1
2012, Synchronized Swimming, Denemark, silver, 0
2008, Football / Soccer, Germany, g, 6
2008, Cycling, Sweden, bronze, 3
2012, Tennis, Norway, silver, 1
2008, Tennis, Austria, gold, 3
2012, Volleyball, Romania, silver, 4
16, Athletics, Great Britain, gold, 3
2012, Synchronized Swimming, Japan, bronze, 4
2012, Athletics, Germany, gold, 1
2012, Modern Pentathlon, South Korea, bronze, 2
2004, Athletics, Hungary, bronze, 2
2008, Volleyball, France, bronze, 1
2016, Football / Soccer, United States, bronze, 5
2004, Gymnastics, Canada, silver, 5
2016, Rowing, Denemark, gold, 2
2012, Football / Soccer, Czechoslovakia, g, 1
2012, Swimming, Italy, silver, 0
2004, Tennis, Japan, bronze, 1
2012, Synchronized Swimming, South Korea, silver, 0
2004, Cycling, Poland, gold, 4
2016, Modern Pentathlon, Czechoslovakia, silver, 2
2012, Tennis, United States, gold, 6
2012, Synchronized Swimming, Canada, bronze, 2
2004, Rowing, East Germany, gold, 6
2004, Gymnastics, Romania, bronze, 1
12, Volleyball, Denemark, bronze, 0
2008, Football / Soccer, Great Britain, gold, 2
2012, Synchronized Swimming, Romania, gold, 4
2012, Gymnastics, United States, gold, 0
2016, Cycling, Belgium, s, 4
2008, Tennis, Japan, silver, 6
2008, Tennis, Belgium, bronze, 5
2016, Cycling, Finland, bronze, 0
2016, Athletics, Bulgaria, gold, 2
2016, Volleyball, Finland, bronze, 2
2004, Modern Pentathlon, Russia, bronze, 3
2008, Synchronized Swimming, Bulgaria, gold, 2
2016, Volleyball, Canada, silver, 0
2008, Football / Soccer, Belgium, gold, 5
2004, Gymnastics, Germany, gold, 6
2008, Tennis, Norway, bronze, 0
2012, Rowing, West Germany, silver, 3
2004, Tennis, Turkey, bronze, 1
2016, Cycling, Hungary, silver, 0
2008, Football / Soccer, Canada, silver, 6
2012, Cycling, Commonwealth of Independent States, silver, 4
2008, Volleyball, Japan, gold, 2
2016, Athletics, Czechoslovakia, bronze, 6
2012, Volleyball, France, silver, 3
2012, Athletics, Cuba, gold, 2
2004, Athletics, United States, silver, 5
12, Athletics, Soviet Union, bronze, 5
2008, Gymnastics, Italy, gold, 4
2012, Rowing, Austria, g, 6
2016, Synchronized Swimming, Turkey, gold, 3
2016, Tennis, Great Britain, bronze, 2
2016, Rowing, Italy, gold, 3
2016, Synchronized Swimming, China, gold, 5
2016, Rowing, Hungary, bronze, 6
2008, Swimming, Poland, gold, 4
2012, Rowing, Poland, bronze, 0
2012, Rowing, Japan, gold, 6
2008, Tennis, Japan, b, 3
2016, Swimming, East Germany, bronze, 4
2004, Gymnastics, France, silver, 3
2012, Modern Pentathlon, Commonwealth of Independent States, gold, 0
2004, Modern Pentathlon, Austria, silver, 6
2004, Modern Pentathlon, Austria, gold, 5
2004, Rowing, Turkey, gold, 0
2016, Volleyball, Japan, gold, 3
2008, Volleyball, Hungary, gold, 4
2016, Rowing, Australia, bronze, 0
2008, Swimming, Switzerland, silver, 0
2008, Modern Pentathlon, Australia, gold, 0
2004, Swimming, Czechoslovakia, bronze, 6
12, Volleyball, Switzerland, bronze, 2
2016, Athletics, Norway, gold, 5
2008, Rowing, Australia, silver, 6
2004, Tennis, Austria, gold, 3
2016, Synchronized Swimming, East Germany, silver, 3
2016, Gymnastics, Italy, bronze, 0
2008, Athletics, East Germany, gold, 3
2008, Gymnastics, Sweden, silver, 4
2016, Athletics, Denemark, bronze, 1
2012, Cycling, Netherlands, bronze, 2
2016, Gymnastics, Belgium, bronze, 4
2004, Cycling, Poland, silver, 5
2012, Athletics, Norway, gold, 1
2016, Football / Soccer, Poland, bronze, 2
2008, Synchronized Swimming, Czechoslovakia, bronze, 0
2004, Athletics, United States, bronze, 5
2012, Modern Pentathlon, Australia, gold, 2
2012, Synchronized Swimming, Commonwealth of Independent States, silver, 3
2004, Volleyball, Romania, gold, 4
2016, Athletics, China, silver, 4
2012, Football / Soccer, United States, gold, 3
2004, Gymnastics, Germany, silver, 1
2008, Tennis, Finland, gold, 6
2016, Gymnastics, Russia, gold, 3
2012, Synchronized Swimming, Norway, bronze, 2
2008, Synchronized Swimming, Romania, silver, 0
2004, Rowing, United States, silver, 1
2016, Volleyball, United States, silver, 3
2012, Athletics, Sweden, silver, 2
2016, Tennis, Czechoslovakia, gold, 6
2016, Cycling, West Germany, bronze, 1
2016, Football / Soccer, Japan, silver, 3
2012, Gymnastics, Turkey, gold, 1
2008, Modern Pentathlon, France, gold, 5
2016, Cycling, United States, silver, 2
2012, Football / Soccer, Australia, bronze, 5
2004, Cycling, Netherlands, silver, 3
2004, Rowing, Denemark, bronze, 4
2008, Tennis, Switzerland, bronze, 1
2008, Synchronized Swimming, Canada, gold, 4
2012, Football / Soccer, Germany, s, 2
2016, Swimming, Italy, silver, 2
2012, Cycling, Sweden, gold, 0
2004, Football / Soccer, Soviet Union, gold, 4
2012, Tennis, France, g, 4
2016, Rowing, Belgium, bronze, 6
2016, Modern Pentathlon, Netherlands, bronze, 4
2016, Synchronized Swimming, China, b, 2
2016, Athletics, China, bronze, 0
2008, Synchronized Swimming, Poland, silver, 4
2008, Modern Pentathlon, France, b, 1
2012, Athletics, West Germany, bronze, 5
2012, Gymnastics, Austria, gold, 2
2016, Athletics, Great Britain, silver, 5
